id,name,salary,responsibility,requirement,url
115912893,офис-менеджер,Зарплата не указана,"Организовывать работу курьеров. Контролировать чистоту в <highlighttext>офисе</highlighttext>, следить за качеством работы <highlighttext>уборщиц</highlighttext>. Обеспечивать сотрудников корпоративной сотовой связью. Оформлять командировки (подбирать...","Знание офисной техники (сканер, принтер), программ Microsoft Office (Word, Excel), 1С. Пунктуальность, отзывчивость, оптимизм, доверие, стрессоустойчивость. Знание делового этикета.",https://api.hh.ru/vacancies/115912893?host=hh.ru
117547412,техничка (уборщица/уборщик),"{'from': 100000, 'to': 130000, 'currency': 'KZT', 'gross': True}",Поддержание порядка в приемной и переговорных комнатах. Уход за растениями в <highlighttext>офисе</highlighttext>: полив и обрезка. Утилизация мусора и контроль за...,"Опыт работы в сфере уборки приветствуется, но не обязателен. Внимание к деталям и стремление поддерживать высокие стандарты чистоты. ",https://api.hh.ru/vacancies/117547412?host=hh.ru
118114176,уборщица/уборщик (офисные помещения),"{'from': 32000, 'to': 35000, 'currency': 'RUR', 'gross': False}","Уборка офисных помещений, сан. узлов. Генеральные уборки помещений.","Аккуратность, ответственность, порядочность.",https://api.hh.ru/vacancies/118114176?host=hh.ru
117924941,"администратор, жк элегант","{'from': 70000, 'to': 80000, 'currency': 'RUR', 'gross': True}","Координировать и контролировать работу сотрудников управляющей компании, которые будут работать на территории жилого комплекса: консьержи, разнорабочие, <highlighttext>уборщицы</highlighttext>. Принимать и контролировать...","С опытом руководящей должности (приветствуется). С опытом работы в должности администратора / управляющего ЖК, гостиницы, бизнес-центра от 3х лет. ",https://api.hh.ru/vacancies/117924941?host=hh.ru
118225418,менеджер офиса (кипр),"{'from': 350, 'to': 0, 'currency': 'EUR', 'gross': False}","Закупка воды, бумаги, картриджей и других нужных вещей. Поиск и закупка мебели и техники. Контроль работы <highlighttext>клинера</highlighttext>. Разные задачи по...","Знание английского от B1 для общения с подрядчиками и арендодателем. Ответственность, пунктуальность. У вас есть возможность периодически посещать <highlighttext>офис</highlighttext>...",https://api.hh.ru/vacancies/118225418?host=hh.ru
118238611,администратор офиса/офис-менеджер,"{'from': 0, 'to': 100000, 'currency': 'RUR', 'gross': False}","Настройка работы <highlighttext>офиса</highlighttext> - создание новых рабочих мест и взаимодействие с арендодателями, административным и ИТ отделами, организация клининга/<highlighttext>уборщицы</highlighttext>. ",Деньги. Стройку. Дисциплину. Порядочность людей. Труд и усердие​​​​​. Опыт работы <highlighttext>офис</highlighttext> - менеджером от двух лет. Высшее образование. Уверенный пользователь ПК...,https://api.hh.ru/vacancies/118238611?host=hh.ru
116723235,офис-менеджер,"{'from': 80000, 'to': 0, 'currency': 'RUR', 'gross': False}",...и переговоров по аренде новых <highlighttext>офисов</highlighttext>. Помогать в организации праздников и дней рождения. Контролировать работу <highlighttext>уборщиц</highlighttext> и курьера. ,"Релевантный опыт работы. Уверенные навыки работы с почтой, офисной техникой. Владение Excel, Google Docs. Презентабельный внешний вид и умение произвести...",https://api.hh.ru/vacancies/116723235?host=hh.ru
117791665,офис-менеджер,"{'from': 0, 'to': 300000, 'currency': 'KZT', 'gross': False}","Встреча клиентов в <highlighttext>офисе</highlighttext>. - Управление <highlighttext>офисом</highlighttext> (поддержание порядка, заказ канцелярии и товаров для <highlighttext>офиса</highlighttext>, взаимодействие с обслуживающим персоналом - <highlighttext>уборщица</highlighttext>). - ","Ответственного, грамотного и позитивного в общении человека. Умеющего грамотно организовать свой день. С доброжелательным отношением к коллегам.",https://api.hh.ru/vacancies/117791665?host=hh.ru
118028684,руководитель административно-хозяйственного отдела (ахо),"{'from': 45000, 'to': 60000, 'currency': 'RUR', 'gross': False}","Организовать работу внутреннего клининга (3 <highlighttext>уборщика</highlighttext> служебных помещений). Вести работы по благоустройству и оформлению <highlighttext>офиса</highlighttext> (к праздникам, мероприятиям). ","Уметь принимать самостоятельные решения и быть «хозяйкой» в <highlighttext>офисе</highlighttext>. Проактивный подход к работе, энергичность, аккуратность. Знать MS Office на уровне...",https://api.hh.ru/vacancies/118028684?host=hh.ru
116828843,уборщик офисных и технических помещений,"{'from': 41760, 'to': 48500, 'currency': 'RUR', 'gross': True}","Соблюдать рабочий режим предприятия. - Ежедневная влажная уборка полов, подоконников, уборка мусора в кабинетах,в бытовых/сантехнических/подсобных/складских помещениях. - ",Кандидат должен иметь опыт работы <highlighttext>уборщиком</highlighttext> на предприятии. Ответственность. Порядочность. Чистоплотность. Опрятный внешний вид. Знание русского языка. Предоставление справки об...,https://api.hh.ru/vacancies/116828843?host=hh.ru
