id,name,salary,responsibility,requirement,url
117444946,уборщик (уборщица) служебных помещений,"{'from': 65000, 'to': 65000, 'currency': 'RUR', 'gross': False}","Основная деятельность нашего подразделения - разработка и производство радиоэлектронных систем и изделий различного назначения, в том числе средств радиоэлектронной борьбы и...","опыт работы по уборке служебных помещений желателен. - чистоплотность, ответственность, аккуратность. - наличие практических навыков уборки, знание и опыт применения чистящих средств.",https://api.hh.ru/vacancies/117444946?host=hh.ru
105745074,утренний уборщик помещений (м. полянка),"{'from': 23490, 'to': 0, 'currency': 'RUR', 'gross': False}","Полянка, Октябрьская. Сухая и влажная уборка помещений в <highlighttext>офисе</highlighttext> - (450-500 кв.м). Твёрдый пол, ламинат. Протирка подоконников, офисной мебели. ","Прохождение предварительного медицинского осмотра за счет организации перед трудоустройством . Аккуратность, доброжелательность, опрятный внешний вид, высокое качество уборки.",https://api.hh.ru/vacancies/105745074?host=hh.ru
117729531,руководитель ахо/заведующий хозяйством,"{'from': 100000, 'to': 150000, 'currency': 'RUR', 'gross': False}","Распределение товаров по этажам <highlighttext>офиса</highlighttext>. Организация планов уборки помещений, контроль качества уборки. Управление подчиненными сотрудниками (<highlighttext>уборщики</highlighttext>). Обеспечение наличия хозяйственного инвентаря...",Организаторские навыки. Хозяйственный подход к решению задач. Опыт работы с подрядными организациями. Базовые знания по системам жизнеобеспечения зданий и помещений. ,https://api.hh.ru/vacancies/117729531?host=hh.ru
109194824,заведующий аптекой,"{'from': 95000, 'to': 95000, 'currency': 'RUR', 'gross': True}",В аптеках есть <highlighttext>уборщицы</highlighttext> и рабочие по мелким ремонтам. Сотрудники аптек работают в удобной и понятной кассовой программе. Наши <highlighttext>программисты</highlighttext>...,,https://api.hh.ru/vacancies/109194824?host=hh.ru
117116126,фармацевт-провизор,"{'from': 47000, 'to': 0, 'currency': 'RUR', 'gross': False}",В аптеках есть <highlighttext>уборщицы</highlighttext> и рабочие по мелким ремонтам. Сотрудники аптек работают в удобной и понятной кассовой программе. Наши <highlighttext>программисты</highlighttext>...,,https://api.hh.ru/vacancies/117116126?host=hh.ru
107630818,фармацевт-провизор,"{'from': 45000, 'to': 0, 'currency': 'RUR', 'gross': False}",В аптеках есть <highlighttext>уборщицы</highlighttext> и рабочие по мелким ремонтам. Сотрудники аптек работают в удобной и понятной кассовой программе. Наши <highlighttext>программисты</highlighttext>...,,https://api.hh.ru/vacancies/107630818?host=hh.ru
116809128,бухгалтер на первичную документацию / офис-менеджер,"{'from': 35000, 'to': 45000, 'currency': 'RUR', 'gross': False}","Подготовка <highlighttext>офиса</highlighttext> к мероприятиям и встречам. Контроль наличия и учёт компьютерной техники. Управление <highlighttext>уборщицей</highlighttext>, поддержание порядка в <highlighttext>офисе</highlighttext>. ","Опыт работы бухгалтером/<highlighttext>офис</highlighttext>-менеджером от 1 года. Владение 1С: Бухгалтерия 8.3. Внимательность к деталям, ответственность. ",https://api.hh.ru/vacancies/116809128?host=hh.ru
91699138,уборщик производственных и служебных помещений,"{'from': 68770, 'to': 68770, 'currency': 'RUR', 'gross': True}","Уборка производственных и служебных помещений (<highlighttext>офис</highlighttext>, цеха, площадь около 1000 кв.метров).","Ответственность, аккуратность, умение работать в коллективе. Опыт работы в аналогичной должности от 1 года.",https://api.hh.ru/vacancies/91699138?host=hh.ru
117123540,инженер-конструктор (машиностроение),"{'from': 100000, 'to': 150000, 'currency': 'RUR', 'gross': True}",Вакансия открыта в связи с открытием конструкторского отдела по разработке и доработке оборудования для электрохимической обработки нержавеющих сталей. - ,"Знание принципов работы станков и оборудования. - Знание основ пневматики, гидравлики, схемотехники механики, кинематики. - Понимание основ программирования (для общения с <highlighttext>программистами</highlighttext>).",https://api.hh.ru/vacancies/117123540?host=hh.ru
117358955,уборщица / уборщик (офис),Зарплата не указана,"Ежедневная влажная и сухая уборка кабинетов, холлов, коридоров и других мест общего пользования. Очистка урн для мусора. Ежедневная влажная уборка...","Опыт работы в качестве <highlighttext>уборщицы</highlighttext>/<highlighttext>уборщика</highlighttext> офисных помещений приветствуется. Понимание правил пользования разного рода бытовой химии. Аккуратность, вежливость, ответственность. ",https://api.hh.ru/vacancies/117358955?host=hh.ru
117132346,фармацевт-провизор,"{'from': 51000, 'to': 0, 'currency': 'RUR', 'gross': False}",В аптеках есть <highlighttext>уборщицы</highlighttext> и рабочие по мелким ремонтам. Сотрудники аптек работают в удобной и понятной кассовой программе. Наши <highlighttext>программисты</highlighttext>...,,https://api.hh.ru/vacancies/117132346?host=hh.ru
105428950,фармацевт-провизор,"{'from': 75000, 'to': 0, 'currency': 'RUR', 'gross': True}",В аптеках есть <highlighttext>уборщицы</highlighttext> и рабочие по мелким ремонтам. Сотрудники аптек работают в удобной и понятной кассовой программе. Наши <highlighttext>программисты</highlighttext>...,,https://api.hh.ru/vacancies/105428950?host=hh.ru
108315870,фармацевт-провизор,"{'from': 55000, 'to': 0, 'currency': 'RUR', 'gross': False}",В аптеках есть <highlighttext>уборщицы</highlighttext> и рабочие по мелким ремонтам. Сотрудники аптек работают в удобной и понятной кассовой программе. Наши <highlighttext>программисты</highlighttext>...,,https://api.hh.ru/vacancies/108315870?host=hh.ru
91097791,фармацевт-провизор,"{'from': 62000, 'to': 0, 'currency': 'RUR', 'gross': False}",В аптеках есть <highlighttext>уборщицы</highlighttext> и рабочие по мелким ремонтам. Сотрудники аптек работают в удобной и понятной кассовой программе. Наши <highlighttext>программисты</highlighttext>...,,https://api.hh.ru/vacancies/91097791?host=hh.ru
101898490,фармацевт-провизор (ул. 9 мая),"{'from': 75000, 'to': 0, 'currency': 'RUR', 'gross': True}",В аптеках есть <highlighttext>уборщицы</highlighttext> и рабочие по мелким ремонтам. Сотрудники аптек работают в удобной и понятной кассовой программе. Наши <highlighttext>программисты</highlighttext>...,,https://api.hh.ru/vacancies/101898490?host=hh.ru
117664577,специалист по клинингу (уборщица/уборщик),"{'from': 30000, 'to': 0, 'currency': 'RUR', 'gross': False}","Осуществлять уборку служебных помещений административных зданий, коридоров, лестниц, санузлов. Чистить и дезинфицировать унитазы, раковины и другое санитарно-техническое оборудование. ",Аккуратность. Исполнительность. Ответственное отношение к обязанностям. Чистоплотность.,https://api.hh.ru/vacancies/117664577?host=hh.ru
114132281,фармацевт-провизор (р-н кск),"{'from': 55000, 'to': 0, 'currency': 'RUR', 'gross': False}",В аптеках есть <highlighttext>уборщицы</highlighttext> и рабочие по мелким ремонтам. Сотрудники аптек работают в удобной и понятной кассовой программе. Наши <highlighttext>программисты</highlighttext>...,,https://api.hh.ru/vacancies/114132281?host=hh.ru
117655829,фармацевт-провизор (ул. карла маркса),"{'from': 75000, 'to': 0, 'currency': 'RUR', 'gross': True}",В аптеках есть <highlighttext>уборщицы</highlighttext> и рабочие по мелким ремонтам. Сотрудники аптек работают в удобной и понятной кассовой программе. Наши <highlighttext>программисты</highlighttext>...,,https://api.hh.ru/vacancies/117655829?host=hh.ru
85861412,уборщик служебных помещений,"{'from': 45000, 'to': 0, 'currency': 'RUR', 'gross': False}","Уборка производственных и служебных (<highlighttext>офис</highlighttext>) помещений. Безвредное производство, чистые цеха и лаборатории.","Аналогичный опыт работы будет Вашим преимуществом. Хорошее состояние здоровья (готовность к физическим нагрузкам). Аккуратность, ответственность, трудолюбие.",https://api.hh.ru/vacancies/85861412?host=hh.ru
117612887,уборщица/уборщик,"{'from': 55000, 'to': 0, 'currency': 'RUR', 'gross': False}",Уборка производственных и служебных (<highlighttext>офис</highlighttext>) помещений.,"Дисциплинированность, исполнительность, ответственность и трудолюбие. Отсутствие противопоказаний к данному профессиональному труду.",https://api.hh.ru/vacancies/117612887?host=hh.ru
106415194,фармацевт-провизор,"{'from': 55000, 'to': 0, 'currency': 'RUR', 'gross': False}",В аптеках есть <highlighttext>уборщицы</highlighttext> и рабочие по мелким ремонтам. Сотрудники аптек работают в удобной и понятной кассовой программе. Наши <highlighttext>программисты</highlighttext>...,,https://api.hh.ru/vacancies/106415194?host=hh.ru
116062303,уборщик помещений,"{'from': 36250, 'to': 46250, 'currency': 'RUR', 'gross': True}","Уборка в <highlighttext>офисах</highlighttext>, производствах, складах и других производственных помещениях от бытовых отходов и мусора. Вытирает пыль, подметает и моет вручную...",,https://api.hh.ru/vacancies/116062303?host=hh.ru
22383380,фармацевт-провизор,"{'from': 55000, 'to': 0, 'currency': 'RUR', 'gross': False}",В аптеках есть <highlighttext>уборщицы</highlighttext> и рабочие по мелким ремонтам. Сотрудники аптек работают в удобной и понятной кассовой программе. Наши <highlighttext>программисты</highlighttext>...,,https://api.hh.ru/vacancies/22383380?host=hh.ru
117138831,фармацевт-провизор ( энергетик),"{'from': 51000, 'to': 0, 'currency': 'RUR', 'gross': False}",В аптеках есть <highlighttext>уборщицы</highlighttext> и рабочие по мелким ремонтам. Сотрудники аптек работают в удобной и понятной кассовой программе. Наши <highlighttext>программисты</highlighttext>...,,https://api.hh.ru/vacancies/117138831?host=hh.ru
109602067,фармацевт-провизор (1-й микрорайон),"{'from': 55000, 'to': 0, 'currency': 'RUR', 'gross': False}",В аптеках есть <highlighttext>уборщицы</highlighttext> и рабочие по мелким ремонтам. Сотрудники аптек работают в удобной и понятной кассовой программе. Наши <highlighttext>программисты</highlighttext>...,,https://api.hh.ru/vacancies/109602067?host=hh.ru
108377176,"фармацевт-провизор (пр-т газеты, им. красноярского рабочего)","{'from': 75000, 'to': 75000, 'currency': 'RUR', 'gross': True}",В аптеках есть <highlighttext>уборщицы</highlighttext> и рабочие по мелким ремонтам. Сотрудники аптек работают в удобной и понятной кассовой программе. Наши <highlighttext>программисты</highlighttext>...,,https://api.hh.ru/vacancies/108377176?host=hh.ru
